Age,CCI0,SxFict_FCCI0,EV_CCI0,CCI1,SxFict_FCCI1,EV_CCI1,CCI2,SxFict_FCCI2,EV_CCI2,CCI3,SxFict_FCCI3,EV_CCI3
87,0.021501384,87550.77555,9.078776747,0.073175639,52053.58679,6.239483259,0.19003008,3731.376681,3.721765204,0.45549154,0.000158488,1.647639183
88,0.026395536,85668.31268,8.267285523,0.08428514,48244.53229,5.69263315,0.204546153,3022.30287,3.477635621,0.464455267,8.63E-05,1.607660883
89,0.032496397,83407.05163,7.477865562,0.09714736,44178.23511,5.170578669,0.220237139,2404.102446,3.243316637,0.473595952,4.62E-05,1.568288258
90,0.040081289,80696.62301,6.712237285,0.11201091,39886.43621,4.673135084,0.23716748,1874.629802,3.018142212,0.482917098,2.43E-05,1.529407375
91,0.049483914,77462.19833,5.971628497,0.12915671,35418.7202,4.199534185,0.255405916,1430.028576,2.801042031,0.492422277,1.26E-05,1.490797551
92,0.061138434,73629.06556,5.256481746,0.148928059,30844.15481,3.74822035,0.275047166,1064.790818,2.590330799,0.502115135,6.39E-06,1.452011497
93,0.075592934,69127.49978,4.566222667,0.171727161,26250.59471,3.316622535,0.296199149,771.923121,2.38340248,0.511999388,3.18E-06,1.412111742
94,0.093530578,63901.94926,3.898736029,0.19801786,21742.65461,2.900597487,0.318978086,543.2801495,2.176044619,0.522078828,1.55E-06,1.369079095
95,0.115803228,57925.16304,3.249421596,0.228335085,17437.22067,2.493330359,0.34350914,369.9856875,1.96107296,0.532357321,7.41E-07,1.318456987
96,0.143473503,51217.24215,2.609513272,0.263295751,13455.69141,2.083155357,0.369927107,242.8922222,1.725580048,0.542838809,3.47E-07,1.250175984
97,0.177867384,43868.92502,1.962869834,0.303611329,9912.865032,1.648970038,0.398377153,153.0398051,1.445140097,0.553527316,1.59E-07,1.140944156
98,0.22064007,36066.07408,1.27935993,0.350102342,6903.206908,1.149897658,0.429015617,92.07224321,1.070984383,0.564426942,7.08E-08,0.935573058
99,0.273858398,28108.45296,0.5,0.403715092,4486.378,0.5,0.462010863,52.57181302,0.5,0.57554187,3.08E-08,0.5
